토큰,등장연월,len
전자레인지,"['2019-9', '2020-11', '2021-3', '2021-6', '2021-8']",5
블루투스,"['2018-12', '2020-5', '2020-12', '2021-2', '2021-12']",5
경영,"['2018-11', '2019-2', '2019-9', '2019-10', '2019-11']",5
구입,"['2014-4', '2018-6', '2020-2', '2020-11', '2021-5']",5
지퍼,"['2019-2', '2019-5', '2020-9', '2021-10', '2021-11']",5
충전기,"['2013-3', '2014-1', '2015-8', '2016-3', '2018-11']",5
캔버스,"['2019-2', '2019-10', '2020-10', '2021-2', '2021-10']",5
컨퍼런스,"['2017-11', '2018-2', '2018-8', '2019-2', '2020-2']",5
금속,"['2016-2', '2017-7', '2018-7', '2020-5', '2021-7']",5
연동,"['2016-2', '2016-11', '2017-8', '2018-2', '2018-3']",5
노후,"['2016-11', '2017-2', '2018-2', '2018-10', '2018-11']",5
대비,"['2019-8', '2020-2', '2020-4', '2020-11', '2021-11']",5
건물,"['2015-8', '2015-9', '2015-10', '2015-11', '2019-2']",5
배터리,"['2016-2', '2018-7', '2018-11', '2019-2', '2021-3']",5
녹화,"['2013-8', '2016-2', '2020-12', '2021-3', '2021-11']",5
홍보물,"['2014-1', '2020-1', '2021-1', '2021-5', '2021-10']",5
교육학,"['2014-8', '2020-12', '2021-5', '2021-6', '2021-12']",5
포토,"['2018-12', '2019-1', '2020-1', '2020-6', '2021-4']",5
안정,"['2018-9', '2018-11', '2019-2', '2020-11', '2021-2']",5
축제,"['2017-5', '2018-5', '2019-5', '2020-12', '2021-11']",5
전동,"['2014-3', '2016-12', '2018-5', '2020-7', '2021-4']",5
화일,"['2019-2', '2019-8', '2019-10', '2020-7', '2021-6']",5
배정,"['2017-10', '2018-1', '2018-2', '2019-5', '2020-5']",5
패드,"['2015-1', '2019-2', '2020-2', '2021-3', '2021-5']",5
디지털카메라,"['2014-3', '2014-10', '2015-5', '2016-2', '2020-6']",5
불어,"['2014-8', '2020-5', '2020-6', '2021-5', '2021-7']",5
선반,"['2015-10', '2020-2', '2020-4', '2021-3', '2021-4']",5
양면,"['2018-12', '2019-7', '2019-9', '2020-4', '2020-11']",5
조립,"['2014-7', '2020-2', '2020-8', '2020-11', '2021-9']",5
텃밭,"['2014-4', '2019-4', '2019-9', '2020-4', '2021-4', '2021-7']",6
포함,"['2016-12', '2019-7', '2020-11', '2021-5', '2021-9', '2021-10']",6
실내,"['2018-7', '2018-8', '2018-12', '2019-8', '2020-3', '2021-1']",6
국어,"['2019-8', '2020-2', '2020-4', '2020-7', '2020-9', '2020-11']",6
해석,"['2016-2', '2018-2', '2018-5', '2018-6', '2019-4', '2020-6']",6
기념,"['2013-5', '2018-10', '2018-11', '2019-9', '2019-10', '2021-5']",6
캐비넷,"['2015-2', '2016-2', '2016-8', '2016-9', '2017-10', '2021-3']",6
초빙,"['2013-2', '2015-1', '2017-10', '2018-7', '2018-10', '2019-12']",6
어강,"['2019-1', '2019-2', '2019-3', '2019-4', '2019-5', '2019-7']",6
이월,"['2020-4', '2020-5', '2020-6', '2020-7', '2020-10', '2020-11']",6
국문,"['2019-8', '2020-2', '2020-4', '2020-7', '2020-9', '2020-11']",6
단계,"['2016-12', '2018-2', '2020-1', '2020-7', '2020-8', '2020-11']",6
농약,"['2014-6', '2019-6', '2019-7', '2019-8', '2021-2', '2021-7']",6
티셔츠,"['2018-7', '2020-4', '2020-6', '2020-8', '2021-2', '2021-10']",6
부평,"['2018-7', '2018-9', '2020-12', '2021-1', '2021-11', '2021-12']",6
선예,"['2014-7', '2015-3', '2020-10', '2020-11', '2021-2', '2021-8']",6
진공,"['2016-2', '2016-5', '2017-1', '2019-4', '2019-5', '2019-10']",6
아두이노,"['2013-9', '2014-1', '2018-9', '2018-10', '2019-3', '2019-7']",6
지역,"['2013-5', '2017-2', '2017-7', '2018-6', '2018-7', '2021-6']",6
비대,"['2020-4', '2020-9', '2020-11', '2021-1', '2021-2', '2021-4']",6
웹캠,"['2020-3', '2020-5', '2020-8', '2020-9', '2020-11', '2021-7']",6
일반생물학,"['2018-7', '2018-12', '2019-2', '2019-3', '2019-4', '2019-5']",6
대관,"['2018-10', '2018-12', '2019-3', '2019-9', '2020-1', '2021-1']",6
포럼,"['2016-10', '2017-11', '2019-6', '2019-11', '2019-12', '2020-8']",6
리더,"['2013-2', '2013-3', '2016-1', '2017-1', '2018-7', '2018-9']",6
걸이,"['2020-5', '2020-7', '2020-9', '2021-1', '2021-5', '2021-8']",6
개인,"['2013-6', '2013-10', '2018-7', '2020-2', '2020-3', '2020-9']",6
피복,"['2016-8', '2019-8', '2021-1', '2021-4', '2021-5', '2021-11']",6
트라이버,"['2021-3', '2021-6', '2021-7', '2021-10', '2021-11', '2021-12']",6
공모,"['2017-2', '2018-7', '2018-12', '2020-12', '2021-1', '2021-2']",6
유선,"['2019-12', '2020-2', '2020-8', '2020-10', '2021-9', '2021-11']",6
종이,"['2017-1', '2019-7', '2020-12', '2021-1', '2021-10', '2021-11']",6
긴급,"['2018-2', '2020-2', '2020-11', '2021-1', '2021-2', '2021-7']",6
의료,"['2017-8', '2017-10', '2019-11', '2020-10', '2020-11', '2021-11']",6
켄트지,"['2018-10', '2019-1', '2019-10', '2020-1', '2020-11', '2021-1']",6
드릴,"['2017-10', '2018-5', '2019-2', '2019-12', '2020-6', '2020-7']",6
보호,"['2018-11', '2019-12', '2020-2', '2020-6', '2020-10', '2021-3']",6
이사회,"['2019-4', '2019-7', '2019-8', '2020-2', '2020-3', '2020-5']",6
기여,"['2018-6', '2018-7', '2019-8', '2019-9', '2019-11', '2020-11']",6
정책,"['2018-10', '2019-7', '2020-2', '2020-5', '2021-1', '2021-11']",6
드론,"['2017-2', '2017-5', '2018-6', '2020-1', '2020-10', '2021-11']",6
삼각대,"['2017-7', '2018-10', '2018-11', '2019-7', '2020-6', '2021-9']",6
스탠드,"['2015-6', '2019-6', '2019-12', '2021-4', '2021-5', '2021-9']",6
옥당,"['2018-10', '2019-1', '2019-10', '2020-1', '2020-11', '2021-1']",6
노동조합,"['2017-3', '2018-12', '2020-12', '2021-2', '2021-6', '2021-9']",6
기타,"['2018-7', '2018-9', '2019-9', '2020-1', '2020-5', '2021-11']",6
맥북,"['2013-5', '2015-6', '2015-9', '2016-12', '2018-8', '2021-11']",6
학내,"['2014-1', '2016-8', '2018-9', '2019-1', '2019-11', '2020-1']",6
희망,"['2014-4', '2019-6', '2020-1', '2020-5', '2020-11', '2021-1']",6
미술,"['2019-8', '2020-1', '2020-11', '2021-1', '2021-5', '2021-11']",6
인쇄,"['2018-10', '2019-4', '2019-11', '2020-2', '2020-12', '2021-11']",6
대학생,"['2017-6', '2020-6', '2020-7', '2020-11', '2021-5', '2021-9']",6
화분,"['2018-7', '2018-8', '2019-8', '2020-1', '2020-3', '2021-12']",6
물벼룩,"['2019-9', '2019-10', '2020-9', '2020-10', '2021-10', '2021-11']",6
신입학,"['2015-11', '2017-1', '2018-8', '2019-1', '2019-10', '2019-11']",6
접이식,"['2018-9', '2018-12', '2020-5', '2021-8', '2021-9', '2021-10']",6
시약,"['2015-8', '2015-12', '2016-2', '2016-7', '2016-8', '2021-7']",6
방한복,"['2013-11', '2013-12', '2014-12', '2016-11', '2020-12', '2021-11']",6
중점,"['2015-12', '2020-1', '2020-2', '2020-5', '2020-9', '2021-2']",6
계산,"['2018-10', '2019-5', '2019-6', '2019-7', '2019-9', '2019-11']",6
로봇,"['2013-9', '2015-6', '2018-7', '2018-9', '2019-10', '2021-3']",6
학생용,"['2013-3', '2014-3', '2015-2', '2016-2', '2016-12', '2017-1']",6
멀티탭,"['2019-2', '2019-8', '2020-8', '2021-5', '2021-10', '2021-11']",6
박람회,"['2018-6', '2018-7', '2020-9', '2021-7', '2021-10', '2021-12']",6
사용권,"['2015-5', '2016-2', '2016-5', '2017-5', '2017-6', '2018-6']",6
본기,"['2017-3', '2018-2', '2019-2', '2019-11', '2021-2', '2021-8']",6
소독,"['2019-4', '2019-9', '2019-10', '2020-3', '2020-6', '2021-10']",6
통상,"['2014-5', '2016-2', '2017-8', '2018-11', '2019-4', '2020-12']",6
연대,"['2013-4', '2015-4', '2019-1', '2019-12', '2020-7', '2020-11']",6
출입,"['2014-8', '2015-1', '2015-8', '2016-2', '2018-7', '2019-1']",6
대사,"['2018-10', '2019-1', '2019-2', '2020-2', '2021-1', '2021-2']",6
도부,"['2013-4', '2014-4', '2014-5', '2014-7', '2015-12', '2018-7']",6
샤워실,"['2019-4', '2019-5', '2020-7', '2021-5', '2021-6', '2021-8']",6
설명,"['2018-9', '2018-10', '2019-4', '2019-6', '2020-8', '2021-4']",6
놀이,"['2018-11', '2019-2', '2019-12', '2021-2', '2021-6', '2021-7']",6
프린트,"['2015-8', '2019-2', '2020-9', '2021-8', '2021-10', '2021-11']",6
냉각탑,"['2017-4', '2018-6', '2019-4', '2019-10', '2020-6', '2021-7']",6
홍보팀,"['2013-8', '2018-1', '2019-4', '2019-5', '2020-7', '2020-12']",6
드럼,"['2018-10', '2019-12', '2020-5', '2020-6', '2020-12', '2021-6']",6
봉사활동,"['2014-1', '2014-7', '2016-6', '2019-2', '2020-2', '2020-4']",6
라켓,"['2019-10', '2019-12', '2020-4', '2021-4', '2021-11', '2021-12']",6
스터디,"['2015-10', '2015-12', '2020-7', '2020-10', '2020-11', '2021-10']",6
교지,"['2017-10', '2017-12', '2018-11', '2019-2', '2020-2', '2021-2']",6
체온계,"['2020-7', '2020-8', '2020-9', '2020-12', '2021-6', '2021-10']",6
심리검사,"['2019-10', '2020-2', '2020-5', '2020-11', '2021-2', '2021-8']",6
러닝,"['2017-7', '2019-6', '2019-9', '2020-11', '2020-12', '2021-10']",6
채용,"['2018-11', '2019-2', '2019-3', '2019-4', '2019-5', '2020-5']",6
수처리,"['2013-5', '2016-4', '2017-4', '2018-6', '2019-4', '2020-6']",6
최고,"['2018-9', '2018-10', '2019-7', '2019-9', '2019-10', '2019-11']",6
한국,"['2020-6', '2020-9', '2020-10', '2021-1', '2021-9', '2021-11']",6
모듈,"['2013-10', '2014-1', '2016-12', '2017-7', '2019-3', '2019-10']",6
프로,"['2015-7', '2017-11', '2018-10', '2019-2', '2019-3', '2020-2', '2020-9']",7
예비군,"['2013-4', '2015-4', '2016-4', '2019-1', '2019-12', '2020-7', '2020-11']",7
국민,"['2014-6', '2015-4', '2016-8', '2017-5', '2018-4', '2019-4', '2020-7']",7
라이선스,"['2015-10', '2016-3', '2017-5', '2017-7', '2019-2', '2019-12', '2020-5']",7
명패,"['2018-8', '2019-3', '2019-4', '2019-9', '2020-2', '2021-5', '2021-6']",7
페스티벌,"['2018-8', '2018-9', '2019-9', '2020-9', '2021-7', '2021-8', '2021-9']",7
심장,"['2015-6', '2018-11', '2019-4', '2020-8', '2020-10', '2021-3', '2021-4']",7
렌즈,"['2016-12', '2017-7', '2018-6', '2019-2', '2019-8', '2019-9', '2020-5']",7
일체,"['2015-6', '2015-8', '2015-11', '2016-1', '2016-4', '2020-5', '2020-9']",7
정물,"['2018-10', '2019-1', '2019-10', '2020-1', '2020-11', '2021-2', '2021-10']",7
질적,"['2017-2', '2017-5', '2017-7', '2017-8', '2017-9', '2017-10', '2018-6']",7
본체,"['2014-7', '2017-7', '2020-2', '2020-4', '2020-5', '2020-8', '2021-9']",7
대외협력,"['2018-1', '2019-2', '2019-4', '2020-12', '2021-6', '2021-7', '2021-8']",7
휴대폰,"['2014-1', '2015-12', '2016-2', '2016-3', '2018-8', '2018-11', '2021-2']",7
성장,"['2017-2', '2017-5', '2017-7', '2017-8', '2017-9', '2017-10', '2018-6']",7
법정,"['2017-2', '2018-10', '2018-12', '2019-5', '2020-1', '2020-2', '2020-12']",7
복장,"['2018-10', '2019-1', '2019-10', '2020-1', '2020-11', '2021-1', '2021-10']",7
무인,"['2013-12', '2014-4', '2014-5', '2015-8', '2016-2', '2017-2', '2021-2']",7
증서,"['2013-7', '2014-2', '2015-1', '2015-12', '2017-8', '2020-2', '2021-8']",7
투명,"['2018-6', '2019-10', '2019-11', '2020-5', '2020-12', '2021-5', '2021-11']",7
수목,"['2013-11', '2018-11', '2019-10', '2020-4', '2020-5', '2021-4', '2021-7']",7
학산,"['2013-4', '2013-12', '2014-1', '2018-11', '2018-12', '2019-11', '2020-1']",7
데이터,"['2013-11', '2017-1', '2018-2', '2019-2', '2019-6', '2019-9', '2020-6']",7
커버,"['2014-4', '2018-9', '2019-6', '2019-7', '2020-1', '2021-2', '2021-4']",7
창업,"['2013-4', '2013-5', '2017-9', '2017-11', '2017-12', '2019-12', '2020-2']",7
승강기,"['2018-10', '2018-11', '2019-8', '2020-10', '2021-4', '2021-6', '2021-7']",7
생명,"['2013-11', '2015-7', '2017-2', '2020-12', '2021-5', '2021-11', '2021-12']",7
여과,"['2013-2', '2014-4', '2015-11', '2016-6', '2018-2', '2019-4', '2020-5']",7
방기,"['2014-1', '2018-1', '2019-5', '2020-10', '2021-6', '2021-8', '2021-11']",7
언론,"['2013-12', '2018-7', '2019-9', '2020-1', '2020-3', '2021-1', '2021-2']",7
체험,"['2016-12', '2017-7', '2018-6', '2018-7', '2020-11', '2021-7', '2021-8']",7
작품,"['2013-10', '2019-8', '2020-1', '2020-2', '2021-1', '2021-9', '2021-10']",7
주차,"['2017-12', '2018-7', '2019-2', '2019-5', '2019-10', '2020-3', '2020-5']",7
하반기,"['2020-2', '2020-8', '2020-10', '2020-11', '2020-12', '2021-1', '2021-12']",7
생명윤리,"['2019-5', '2019-7', '2019-12', '2020-1', '2020-5', '2020-6', '2020-7']",7
정비,"['2013-11', '2018-9', '2018-12', '2019-3', '2019-5', '2019-8', '2019-9']",7
보조,"['2015-12', '2016-2', '2017-3', '2018-2', '2020-6', '2021-2', '2021-8']",7
열람,"['2013-4', '2013-11', '2014-4', '2018-2', '2019-4', '2020-3', '2021-1']",7
재학생,"['2014-11', '2020-2', '2020-11', '2021-1', '2021-9', '2021-10', '2021-11']",7
이전,"['2015-7', '2015-8', '2015-9', '2015-11', '2017-2', '2019-7', '2020-1']",7
화장실,"['2015-2', '2016-7', '2018-9', '2018-12', '2019-1', '2019-7', '2021-5']",7
졸업,"['2013-7', '2014-2', '2015-1', '2015-12', '2016-2', '2017-8', '2020-2']",7
학장,"['2020-11', '2021-2', '2021-5', '2021-6', '2021-7', '2021-10', '2021-11']",7
에어컨,"['2018-4', '2019-6', '2019-7', '2020-2', '2020-7', '2020-9', '2021-8']",7
편입학,"['2018-12', '2019-1', '2019-2', '2020-1', '2020-12', '2021-1', '2021-11']",7
국기,"['2019-6', '2019-12', '2020-6', '2021-2', '2021-3', '2021-6', '2021-11']",7
확산,"['2019-11', '2019-12', '2020-2', '2020-3', '2020-4', '2020-9', '2021-2']",7
외국인,"['2018-9', '2019-1', '2020-5', '2020-6', '2020-11', '2020-12', '2021-1']",7
외부,"['2018-8', '2019-2', '2019-7', '2019-9', '2019-10', '2020-10', '2021-9']",7
게양,"['2018-10', '2019-6', '2019-12', '2020-6', '2021-2', '2021-6', '2021-11']",7
공기조화,"['2013-2', '2015-11', '2016-6', '2018-11', '2019-1', '2019-11', '2021-6']",7
조기,"['2014-1', '2015-7', '2015-10', '2016-1', '2016-12', '2020-5', '2021-4']",7
자기,"['2018-8', '2020-6', '2020-7', '2020-10', '2020-11', '2021-6', '2021-12']",7
도어,"['2015-2', '2019-3', '2019-5', '2019-9', '2020-12', '2021-4', '2021-6']",7
도시락,"['2013-4', '2014-7', '2015-4', '2015-7', '2016-2', '2016-4', '2019-10']",7
후드,"['2015-8', '2015-12', '2016-1', '2016-7', '2016-8', '2020-2', '2021-2']",7
핸드,"['2018-11', '2019-3', '2020-5', '2020-6', '2020-8', '2020-9', '2021-2']",7
심포지움,"['2020-9', '2020-10', '2020-11', '2021-1', '2021-9', '2021-10', '2021-11']",7
컬러,"['2017-8', '2017-9', '2019-4', '2019-12', '2020-6', '2020-12', '2021-4']",7
멀티미디어,"['2013-10', '2014-9', '2015-1', '2017-4', '2018-11', '2020-2', '2021-1']",7
증축,"['2014-2', '2015-5', '2015-7', '2015-8', '2015-9', '2019-12', '2020-2']",7
촬영,"['2017-7', '2019-2', '2020-2', '2020-6', '2020-7', '2020-11', '2021-2', '2021-9']",8
서랍,"['2017-2', '2017-8', '2018-1', '2018-2', '2018-3', '2018-6', '2019-4', '2021-10']",8
반도체,"['2015-11', '2018-9', '2019-1', '2019-2', '2019-5', '2019-8', '2019-11', '2020-2']",8
행운,"['2017-2', '2017-8', '2018-2', '2018-8', '2019-2', '2020-2', '2020-8', '2021-2']",8
열쇠,"['2017-2', '2017-8', '2018-2', '2018-8', '2019-2', '2020-2', '2020-8', '2021-2']",8
휴게,"['2015-8', '2015-12', '2017-10', '2017-11', '2018-2', '2018-9', '2019-1', '2019-10']",8
경력,"['2015-2', '2017-2', '2019-5', '2019-12', '2020-1', '2020-2', '2021-11', '2021-12']",8
명시,"['2020-4', '2020-5', '2020-6', '2020-7', '2020-9', '2020-10', '2020-11', '2021-2']",8
관광,"['2014-6', '2015-4', '2016-8', '2017-5', '2018-4', '2019-4', '2020-7', '2021-6']",8
중어,"['2019-3', '2020-4', '2020-6', '2020-8', '2020-9', '2021-5', '2021-9', '2021-10']",8
작업대,"['2015-10', '2016-6', '2016-8', '2016-12', '2017-8', '2017-10', '2018-6', '2020-6']",8
칸막이,"['2018-5', '2019-1', '2020-10', '2021-2', '2021-7', '2021-8', '2021-9', '2021-10']",8
근속,"['2013-12', '2014-6', '2015-4', '2016-8', '2017-5', '2018-4', '2019-4', '2020-7']",8
부스,"['2018-12', '2019-7', '2019-9', '2019-10', '2020-2', '2020-11', '2020-12', '2021-10']",8
추경,"['2016-1', '2016-2', '2016-12', '2017-1', '2017-2', '2018-1', '2018-2', '2020-2']",8
칼라,"['2015-7', '2016-12', '2017-3', '2018-9', '2019-1', '2019-3', '2019-10', '2019-12']",8
학부,"['2013-9', '2014-7', '2015-2', '2015-6', '2015-7', '2016-2', '2017-8', '2020-6']",8
게시판,"['2015-9', '2015-11', '2018-2', '2019-1', '2019-4', '2019-7', '2019-9', '2021-7']",8
필요,"['2017-10', '2020-2', '2020-7', '2020-8', '2020-9', '2020-11', '2021-6', '2021-10']",8
위기,"['2018-6', '2018-8', '2019-1', '2019-6', '2020-1', '2020-8', '2021-1', '2021-7']",8
헤드셋,"['2017-7', '2018-12', '2020-3', '2020-9', '2020-11', '2021-2', '2021-9', '2021-11']",8
인천대,"['2015-12', '2016-12', '2018-12', '2019-2', '2019-12', '2020-2', '2020-12', '2021-2']",8
인터넷,"['2016-8', '2017-4', '2018-2', '2018-10', '2019-3', '2020-9', '2021-3', '2021-6']",8
음향,"['2014-2', '2014-4', '2015-3', '2015-9', '2017-2', '2018-6', '2020-2', '2021-12']",8
물리,"['2016-1', '2020-4', '2020-6', '2020-7', '2020-8', '2020-9', '2020-10', '2020-12']",8
항공권,"['2016-6', '2016-12', '2017-6', '2017-9', '2017-10', '2018-10', '2019-10', '2020-1']",8
도시과학,"['2017-1', '2018-7', '2018-8', '2018-10', '2019-1', '2019-2', '2019-12', '2020-2']",8
오리엔테이션,"['2014-8', '2015-1', '2015-8', '2016-2', '2016-8', '2017-8', '2019-2', '2020-1']",8
감사,"['2016-2', '2016-11', '2019-10', '2020-2', '2020-12', '2021-1', '2021-3', '2021-11']",8
에코,"['2019-6', '2019-10', '2020-9', '2020-11', '2020-12', '2021-2', '2021-5', '2021-8']",8
동영상,"['2016-2', '2017-6', '2017-12', '2019-7', '2020-4', '2020-9', '2020-12', '2021-2']",8
나눔,"['2014-1', '2018-11', '2019-11', '2020-9', '2020-10', '2020-11', '2020-12', '2021-12']",8
책장,"['2016-5', '2017-3', '2017-7', '2018-2', '2018-12', '2020-11', '2021-2', '2021-9']",8
강좌,"['2015-1', '2018-6', '2018-7', '2018-9', '2019-7', '2019-12', '2020-10', '2021-2']",8
소방,"['2017-9', '2019-4', '2019-9', '2020-2', '2020-7', '2021-1', '2021-6', '2021-12']",8
차량,"['2014-2', '2015-5', '2017-12', '2018-4', '2019-2', '2020-7', '2020-8', '2020-12']",8
캠코더,"['2014-1', '2015-12', '2017-7', '2017-8', '2018-6', '2019-2', '2020-9', '2020-12']",8
퇴임,"['2017-2', '2017-8', '2018-2', '2018-8', '2019-2', '2020-2', '2020-8', '2021-2']",8
화환,"['2019-7', '2019-9', '2019-10', '2020-2', '2020-3', '2020-5', '2020-6', '2020-7']",8
동계,"['2013-11', '2013-12', '2014-12', '2016-11', '2017-10', '2018-10', '2018-12', '2019-12']",8
비상,"['2015-1', '2016-2', '2016-8', '2016-11', '2016-12', '2018-10', '2020-2', '2020-10']",8
교양,"['2013-11', '2019-12', '2020-9', '2020-10', '2020-12', '2021-3', '2021-4', '2021-5']",8
플로터,"['2013-11', '2016-2', '2016-12', '2017-7', '2017-9', '2018-6', '2019-2', '2020-6']",8
이벤트,"['2014-4', '2015-4', '2015-6', '2015-10', '2015-12', '2020-9', '2021-2', '2021-10']",8
고성능,"['2016-4', '2016-12', '2017-7', '2018-1', '2019-6', '2019-9', '2020-1', '2020-2']",8
귀뚜라미,"['2021-3', '2021-5', '2021-6', '2021-7', '2021-8', '2021-9', '2021-10', '2021-11']",8
강사,"['2018-1', '2018-7', '2018-9', '2019-3', '2019-7', '2019-11', '2019-12', '2020-2']",8
신간,"['2018-1', '2019-1', '2019-7', '2020-1', '2020-2', '2020-5', '2020-10', '2021-10']",8
지도,"['2018-10', '2018-12', '2019-1', '2019-10', '2020-2', '2020-12', '2021-1', '2021-6']",8
아트,"['2019-6', '2019-10', '2020-9', '2020-11', '2020-12', '2021-2', '2021-5', '2021-8']",8
스피커,"['2017-7', '2018-2', '2020-5', '2020-6', '2021-2', '2021-5', '2021-9', '2021-11']",8
건축학,"['2013-11', '2013-12', '2016-1', '2019-9', '2020-9', '2020-12', '2021-5', '2021-11']",8
경품,"['2018-8', '2018-9', '2019-10', '2020-8', '2020-9', '2020-12', '2021-1', '2021-2']",8
모델,"['2017-8', '2018-10', '2019-1', '2019-10', '2020-1', '2020-11', '2021-1', '2021-10']",8
구류,"['2018-6', '2019-2', '2019-4', '2019-10', '2020-6', '2020-12', '2021-3', '2021-11']",8
부속품,"['2018-1', '2018-6', '2018-9', '2019-1', '2019-3', '2019-5', '2020-2', '2020-8']",8
시티,"['2018-12', '2019-10', '2021-3', '2021-6', '2021-7', '2021-10', '2021-11', '2021-12']",8
외국,"['2015-12', '2016-12', '2019-1', '2019-2', '2019-3', '2019-4', '2019-5', '2020-12']",8
카트,"['2016-8', '2017-3', '2017-7', '2018-7', '2019-1', '2020-9', '2021-1', '2021-9']",8
편집,"['2017-10', '2017-12', '2018-1', '2018-11', '2019-2', '2020-2', '2020-12', '2021-2']",8
부총,"['2017-3', '2017-5', '2018-9', '2019-2', '2019-4', '2019-12', '2021-6', '2021-8']",8
특별,"['2018-6', '2018-10', '2019-4', '2019-5', '2020-12', '2021-1', '2021-2', '2021-10']",8
시뮬레이션,"['2013-3', '2013-11', '2014-1', '2016-1', '2016-4', '2017-1', '2017-8', '2018-2', '2019-6']",9
전자칠판,"['2015-10', '2016-1', '2018-10', '2020-5', '2021-1', '2021-2', '2021-4', '2021-7', '2021-9']",9
클러스터,"['2016-8', '2016-11', '2016-12', '2019-6', '2019-7', '2020-1', '2020-8', '2021-2', '2021-11']",9
장애,"['2014-3', '2016-1', '2016-2', '2019-1', '2019-3', '2020-6', '2020-11', '2021-5', '2021-8']",9
디자인,"['2015-6', '2019-6', '2019-9', '2020-8', '2020-9', '2021-2', '2021-3', '2021-9', '2021-10']",9
에스,"['2016-12', '2017-1', '2017-2', '2017-3', '2017-5', '2017-9', '2017-10', '2018-1', '2018-10']",9
임베디드,"['2013-9', '2014-7', '2015-6', '2015-12', '2016-2', '2017-8', '2020-8', '2021-9', '2021-10']",9
통신,"['2017-1', '2018-10', '2019-2', '2019-3', '2020-3', '2021-1', '2021-2', '2021-3', '2021-4']",9
거치,"['2014-1', '2015-11', '2017-9', '2018-2', '2019-4', '2019-5', '2020-2', '2021-4', '2021-7']",9
일자리,"['2016-3', '2017-9', '2017-12', '2019-10', '2019-11', '2020-9', '2020-10', '2021-1', '2021-2']",9
비도,"['2013-6', '2013-10', '2013-11', '2015-6', '2016-7', '2019-6', '2019-7', '2020-1', '2020-2']",9
노트북컴퓨터,"['2013-12', '2016-9', '2016-10', '2017-1', '2017-12', '2018-1', '2018-7', '2019-1', '2020-7']",9
각종,"['2018-7', '2019-1', '2019-2', '2019-10', '2020-9', '2020-11', '2021-2', '2021-10', '2021-11']",9
이장,"['2013-10', '2015-7', '2017-8', '2017-10', '2018-2', '2018-3', '2018-8', '2019-2', '2020-2']",9
가습기,"['2019-11', '2019-12', '2020-1', '2020-2', '2020-12', '2021-1', '2021-2', '2021-11', '2021-12']",9
서류,"['2014-2', '2016-4', '2017-10', '2018-9', '2019-7', '2019-8', '2019-9', '2019-11', '2020-5']",9
에어,"['2018-11', '2019-1', '2019-5', '2019-11', '2019-12', '2020-2', '2020-9', '2020-12', '2021-6']",9
기초과학,"['2020-2', '2020-9', '2020-10', '2020-11', '2020-12', '2021-2', '2021-9', '2021-10', '2021-11']",9
그룹,"['2013-6', '2013-11', '2013-12', '2014-5', '2014-11', '2014-12', '2015-1', '2015-5', '2015-6']",9
진단,"['2013-11', '2016-8', '2018-3', '2018-7', '2019-3', '2019-10', '2019-11', '2020-3', '2020-6']",9
응집,"['2020-3', '2020-5', '2020-7', '2020-9', '2021-5', '2021-6', '2021-8', '2021-9', '2021-11']",9
학술,"['2013-12', '2015-4', '2015-11', '2018-12', '2019-9', '2020-2', '2020-7', '2020-12', '2021-2']",9
직무,"['2014-4', '2018-8', '2018-11', '2019-8', '2019-9', '2019-11', '2020-7', '2020-9', '2021-1']",9
단체,"['2017-9', '2018-7', '2019-4', '2020-6', '2021-1', '2021-2', '2021-4', '2021-5', '2021-11']",9
나노,"['2018-7', '2019-5', '2019-7', '2020-1', '2020-2', '2020-3', '2020-12', '2021-5', '2021-11']",9
스티커,"['2014-4', '2018-10', '2019-4', '2019-7', '2019-10', '2020-3', '2021-9', '2021-11', '2021-12']",9
원용,"['2017-12', '2018-7', '2018-8', '2018-10', '2019-8', '2019-12', '2020-1', '2020-2', '2020-4']",9
이미지,"['2013-11', '2015-11', '2017-7', '2017-9', '2018-9', '2018-11', '2019-1', '2020-10', '2021-1']",9
정규,"['2018-6', '2018-8', '2018-9', '2018-11', '2018-12', '2019-1', '2019-3', '2019-4', '2019-5']",9
용의자,"['2016-5', '2018-1', '2018-2', '2018-11', '2019-2', '2019-3', '2020-2', '2021-7', '2021-8']",9
맞춤,"['2017-7', '2018-9', '2018-11', '2019-2', '2020-1', '2020-11', '2021-8', '2021-11', '2021-12']",9
고속,"['2013-11', '2014-7', '2016-2', '2016-5', '2017-1', '2017-4', '2017-7', '2017-8', '2018-10']",9
작업복,"['2013-11', '2014-3', '2018-12', '2019-6', '2019-10', '2019-11', '2020-4', '2020-5', '2021-10']",9
경비,"['2014-5', '2018-10', '2019-1', '2019-10', '2020-1', '2020-11', '2021-1', '2021-2', '2021-10']",9
회의실,"['2013-10', '2015-8', '2017-2', '2019-11', '2020-2', '2020-12', '2021-2', '2021-7', '2021-12']",9
트레이닝복,"['2013-11', '2014-12', '2015-6', '2016-4', '2016-11', '2019-11', '2019-12', '2021-7', '2021-11', '2021-12']",10
예산,"['2013-3', '2016-12', '2017-3', '2018-1', '2018-2', '2018-3', '2019-12', '2020-1', '2020-5', '2021-11']",10
복합,"['2013-10', '2014-4', '2014-6', '2015-8', '2020-2', '2020-3', '2020-12', '2021-2', '2021-5', '2021-11']",10
