토큰,등장연월,len
글라스,"['2015-10', '2019-8', '2020-10']",3
건축,"['2013-3', '2013-9', '2021-12']",3
오디오,"['2015-9', '2019-1', '2021-4']",3
캐릭터,"['2019-12', '2020-12', '2021-10']",3
대학입학,"['2020-3', '2021-7', '2021-12']",3
셀프,"['2020-8', '2020-11', '2020-12']",3
라운지,"['2019-12', '2020-1', '2020-2']",3
온스,"['2021-3', '2021-4', '2021-12']",3
다용,"['2016-6', '2018-11', '2021-8']",3
증가,"['2014-1', '2019-6', '2019-9']",3
커플,"['2021-3', '2021-4', '2021-12']",3
파워,"['2016-4', '2017-7', '2019-2']",3
출연,"['2020-3', '2020-12', '2021-8']",3
소독제,"['2020-2', '2020-5', '2020-9']",3
신입,"['2019-7', '2020-5', '2020-6']",3
예비,"['2013-6', '2013-10', '2020-4']",3
모임,"['2019-11', '2020-9', '2021-4']",3
역학,"['2018-2', '2018-4', '2019-11']",3
영접,"['2018-6', '2018-8', '2019-1']",3
주사,"['2015-11', '2019-1', '2021-4']",3
증명서,"['2016-11', '2018-7', '2020-5']",3
블럭,"['2018-11', '2019-3', '2020-5']",3
도장,"['2020-1', '2020-5', '2021-8']",3
수성,"['2021-4', '2021-5', '2021-10']",3
마기,"['2016-2', '2018-10', '2020-8']",3
아교,"['2018-11', '2020-4', '2021-8']",3
헬륨,"['2014-3', '2015-1', '2015-10']",3
소속,"['2015-11', '2015-12', '2016-12']",3
테이,"['2018-11', '2018-12', '2019-12']",3
코트,"['2018-10', '2019-4', '2020-11']",3
전문,"['2019-5', '2019-9', '2021-8']",3
수료식,"['2018-7', '2019-1', '2019-6']",3
근력,"['2013-7', '2016-1', '2016-4']",3
토련기,"['2016-1', '2016-7', '2021-11']",3
폐액통,"['2016-2', '2019-2', '2021-1']",3
야외,"['2017-10', '2018-6', '2021-5']",3
참가,"['2021-1', '2021-7', '2021-12']",3
전원,"['2016-10', '2016-11', '2019-1']",3
서식,"['2013-6', '2013-11', '2014-5']",3
조절,"['2017-1', '2021-8', '2021-10']",3
기업,"['2014-4', '2019-5', '2019-12']",3
가림,"['2020-5', '2020-11', '2021-10']",3
프리,"['2018-10', '2018-12', '2019-6']",3
착용,"['2019-1', '2019-10', '2021-7']",3
동문,"['2014-4', '2014-11', '2018-7']",3
플러스,"['2013-12', '2018-6', '2019-9']",3
셋트,"['2014-2', '2018-10', '2019-9']",3
플레이어,"['2014-1', '2021-4', '2021-10']",3
장애인,"['2019-2', '2020-2', '2020-5']",3
특기,"['2019-10', '2020-12', '2021-11']",3
사량,"['2013-4', '2016-12', '2018-6']",3
단복,"['2018-11', '2019-2', '2021-3']",3
동작,"['2013-9', '2016-12', '2017-8']",3
전구,"['2019-10', '2019-11', '2021-3']",3
탁구공,"['2020-6', '2020-12', '2021-3']",3
바인더,"['2013-7', '2014-2', '2018-9']",3
잠바,"['2019-1', '2020-2', '2021-2']",3
플랫폼,"['2017-2', '2018-7', '2020-1']",3
보완,"['2016-1', '2019-8', '2019-9']",3
칠판,"['2018-8', '2018-12', '2019-3']",3
착제,"['2019-6', '2019-7', '2021-7']",3
스툴,"['2015-4', '2019-2', '2019-5']",3
인공,"['2013-4', '2018-10', '2020-1']",3
소요,"['2018-10', '2020-2', '2020-5']",3
업체,"['2019-2', '2019-5', '2021-4']",3
개강,"['2019-8', '2020-9', '2021-1']",3
고장,"['2016-11', '2019-8', '2020-2']",3
실험복,"['2020-7', '2020-8', '2021-9']",3
구단,"['2019-12', '2020-1', '2020-2']",3
생활관,"['2013-2', '2013-12', '2014-1']",3
건조기,"['2017-8', '2019-7', '2021-2']",3
상자,"['2014-4', '2019-11', '2021-5']",3
태권,"['2013-4', '2014-4', '2014-5']",3
정책학,"['2021-1', '2021-6', '2021-11']",3
운동화,"['2019-12', '2021-1', '2021-12']",3
카페,"['2018-6', '2020-11', '2021-10']",3
하드디스크,"['2020-5', '2020-12', '2021-1']",3
근로자,"['2019-8', '2020-3', '2020-11']",3
공보,"['2019-7', '2020-12', '2021-2']",3
가공,"['2020-7', '2020-9', '2020-11']",3
배치,"['2015-7', '2020-1', '2021-6']",3
오실로스코프,"['2013-10', '2016-7', '2017-8']",3
냉장,"['2016-2', '2016-7', '2017-7']",3
정밀,"['2016-2', '2016-6', '2018-7']",3
밀폐,"['2015-12', '2016-2', '2016-7']",3
포상,"['2013-12', '2019-2', '2020-2']",3
잡초,"['2015-10', '2017-12', '2018-9']",3
전기화학,"['2016-1', '2016-4', '2016-12']",3
구성원,"['2019-3', '2019-9', '2019-12']",3
중국학,"['2017-7', '2021-6', '2021-12']",3
화상회의,"['2020-3', '2020-4', '2021-9']",3
골프장,"['2018-12', '2020-3', '2021-3']",3
전신,"['2013-9', '2021-7', '2021-10']",3
증폭기,"['2015-11', '2018-2', '2019-2']",3
공모전,"['2020-2', '2021-2', '2021-10']",3
사전,"['2018-9', '2019-9', '2019-10']",3
세무,"['2013-10', '2014-4', '2015-7']",3
고정,"['2015-2', '2019-12', '2021-7']",3
발열,"['2020-10', '2020-11', '2021-11']",3
과제,"['2015-2', '2021-9', '2021-10']",3
사랑,"['2014-1', '2018-11', '2019-11']",3
과학기술대,"['2017-2', '2021-11', '2021-12']",3
수용,"['2019-6', '2020-12', '2021-3']",3
인식,"['2019-4', '2019-10', '2020-8']",3
사다리,"['2019-10', '2020-6', '2021-11']",3
초순,"['2015-10', '2016-4', '2021-4']",3
태권도,"['2020-2', '2021-3', '2021-4']",3
화장지,"['2013-2', '2016-7', '2020-1']",3
방향,"['2015-2', '2020-2', '2020-8']",3
수건,"['2016-2', '2019-4', '2020-11']",3
준공,"['2015-7', '2015-8', '2015-11']",3
탐색,"['2014-3', '2015-3', '2016-4', '2018-6']",4
다기,"['2016-4', '2016-11', '2016-12', '2020-11']",4
손잡이,"['2019-3', '2019-5', '2021-4', '2021-12']",4
산업,"['2017-9', '2017-12', '2018-8', '2020-12']",4
문서,"['2016-12', '2019-2', '2019-11', '2020-5']",4
지출,"['2014-1', '2019-4', '2021-4', '2021-5']",4
컴퓨터공학,"['2013-10', '2020-12', '2021-5', '2021-11']",4
볼펜,"['2019-7', '2019-12', '2020-11', '2021-2']",4
스톤,"['2019-6', '2019-9', '2020-8', '2020-9']",4
학군단,"['2018-9', '2020-2', '2020-11', '2020-12']",4
파트,"['2019-4', '2021-9', '2021-10', '2021-11']",4
관리원,"['2019-11', '2020-4', '2021-3', '2021-4']",4
기숙,"['2019-1', '2019-3', '2019-8', '2020-2']",4
솔루션,"['2015-1', '2015-9', '2016-1', '2020-11']",4
언어,"['2019-3', '2019-6', '2019-7', '2019-12']",4
승강,"['2019-3', '2020-2', '2020-4', '2021-11']",4
문화원,"['2019-3', '2019-6', '2019-7', '2019-12']",4
펜싱,"['2013-3', '2014-4', '2015-6', '2015-12']",4
과학,"['2017-8', '2019-1', '2019-11', '2020-2']",4
컬러프린터,"['2017-4', '2018-8', '2018-9', '2018-12']",4
발송,"['2019-1', '2020-2', '2020-4', '2021-4']",4
조경,"['2018-9', '2018-10', '2019-4', '2020-2']",4
영자,"['2016-4', '2017-10', '2020-11', '2021-1']",4
라벨,"['2016-1', '2017-11', '2018-11', '2019-11']",4
의류,"['2019-11', '2020-12', '2021-5', '2021-11']",4
대책,"['2020-2', '2020-5', '2021-7', '2021-10']",4
골프공,"['2016-2', '2017-7', '2018-6', '2021-6']",4
근무,"['2019-5', '2019-8', '2020-2', '2021-5']",4
드라이버,"['2015-7', '2017-10', '2021-11', '2021-12']",4
미추홀,"['2017-6', '2018-11', '2019-6', '2020-11']",4
물티슈,"['2020-2', '2021-2', '2021-8', '2021-12']",4
해부,"['2018-2', '2019-11', '2020-11', '2021-11']",4
프린팅,"['2017-7', '2017-8', '2020-6', '2021-7']",4
유정,"['2018-11', '2019-11', '2020-11', '2021-10']",4
대상자,"['2016-12', '2017-9', '2021-3', '2021-9']",4
집무실,"['2018-7', '2018-8', '2018-9', '2021-6']",4
통일,"['2019-2', '2020-8', '2020-9', '2021-1']",4
유동,"['2018-5', '2018-6', '2019-4', '2020-6']",4
대면,"['2020-10', '2021-9', '2021-10', '2021-11']",4
접견,"['2018-6', '2018-8', '2018-9', '2020-9']",4
대응,"['2015-1', '2015-6', '2020-11', '2021-2']",4
독문,"['2020-5', '2020-6', '2021-2', '2021-9']",4
꽃게,"['2018-10', '2019-10', '2019-11', '2020-10']",4
출력,"['2018-11', '2019-2', '2019-4', '2021-10']",4
유치,"['2018-10', '2020-5', '2020-12', '2021-1']",4
배너,"['2017-1', '2019-2', '2020-2', '2021-10']",4
로비,"['2015-12', '2018-11', '2019-2', '2019-8']",4
캠프,"['2015-7', '2018-6', '2020-6', '2020-7']",4
병행,"['2016-11', '2016-12', '2017-1', '2017-2']",4
처리,"['2016-4', '2019-1', '2021-8', '2021-11']",4
젠더,"['2019-11', '2020-10', '2021-1', '2021-6']",4
관리자,"['2014-4', '2018-9', '2018-10', '2019-7']",4
콘센트,"['2019-2', '2019-9', '2019-10', '2019-11']",4
휴대,"['2013-6', '2013-11', '2018-3', '2018-6']",4
신축,"['2015-8', '2015-9', '2015-10', '2015-11']",4
관찰,"['2018-7', '2019-4', '2020-2', '2021-4']",4
밴드,"['2020-1', '2020-3', '2020-10', '2020-11']",4
학운동,"['2020-12', '2021-1', '2021-11', '2021-12']",4
